age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score,daily_social_media_time_was_missing,perceived_productivity_score_was_missing,actual_productivity_score_was_missing,stress_level_was_missing,sleep_hours_was_missing,screen_time_before_sleep_was_missing,job_satisfaction_score_was_missing,age_group,digital_addiction_index,sleep_social_ratio,notification_pressure,stress_caffeine_score,productivity_gap,wellness_effective,doomscroll_risk,productivity_tier
28.0,Male,It,3.341558657666664,Twitter,57.0,11.022034609577885,8.929055817094138,7.98325212177318,4.0,3.952547057449664,1.0286395697338595,5.0,1,1,1,3.0,13.514514952552608,9.40345371292937,0,0,0,0,0,0,0,26-35,3.298230579727864,1.148475865330578,228.0,2.772588722239781,0.9458036953209579,1,0,High
41.0,Female,Finance,2.200060569880046,Twitter,59.0,10.14773194893199,7.696546030262496,6.482963081860133,9.0,6.091282606105073,0.8892562947903992,8.0,1,0,4,30.0,8.732449110645707,6.02892575531464,0,0,1,0,0,0,0,36-45,3.198132986111081,2.648313999149487,531.0,14.484941211906902,1.2135829484023635,0,0,Medium
53.0,Male,Student,2.715759672403874,Tiktok,77.0,5.63715397676172,8.57550424943904,7.715133470742169,7.6,4.559258062716896,0.5992929925996221,5.0,0,0,0,15.0,4.956755156887391,8.770683446859982,0,0,0,1,0,0,0,46-55,4.429841239193784,1.6191928975332472,585.1999999999999,0.0,0.860370778696872,0,0,High
57.0,Male,Education,0.0,Twitter,60.0,6.8224418555077,8.850758210210204,7.930675032954072,5.0,6.764830217636996,1.3410698866980464,3.0,0,0,4,27.0,18.05265620437408,7.563357571684606,0,0,0,0,0,0,0,56+,0.0,67.64830217636995,300.0,8.047189562170502,0.9200831772561315,0,0,High
41.0,Male,Education,3.773326308046273,Tiktok,65.0,8.636782458133002,7.511934181164728,6.773922720050245,10.0,7.921161118521855,1.263446215973914,6.0,1,0,4,20.0,12.767973869284932,6.849160000184833,0,0,0,0,0,0,0,36-45,4.704214579773488,2.045053911948186,650.0,16.094379124341003,0.7380114611144828,0,0,Medium
20.0,Male,Student,5.826311296588029,Tiktok,67.0,4.718497073144404,2.6458251909465096,2.8611708867422974,5.0,8.301198297157576,1.0870814432439675,9.0,0,0,4,0.0,8.095880944499394,2.179691634134968,0,0,0,0,0,0,0,18-25,3.467547777416037,1.400736120955517,335.0,8.047189562170502,-0.21534569579578777,0,0,Low
39.0,Male,Finance,2.3058030190036742,Twitter,64.0,7.050821060219934,6.983516467268029,6.629586652811088,9.0,4.847608145889511,0.0701891824176556,2.0,0,0,3,9.0,12.110619932651424,6.060703850181426,0,0,0,0,0,0,1,36-45,4.194395869501931,2.014964694780819,576.0,12.476649250079015,0.3539298144569418,0,0,Medium
19.0,Male,Health,5.621219699261981,Twitter,52.0,8.201916407038443,2.154417163216769,2.062080419419904,1.0,5.2232112988402015,1.957238897968176,3.0,0,0,2,6.0,20.03264909482339,1.7317247371496371,0,0,0,0,0,0,0,18-25,1.0559828238429514,0.9129541554773678,52.0,1.0986122886681098,0.09233674379686496,0,0,Low
41.0,Female,Health,5.311874520637407,Twitter,47.0,8.618984052935092,8.515497659050606,7.428870814844699,5.0,6.275958604381801,0.0,2.0,0,0,2,26.0,0.2295106778577302,5.590405802498856,1,0,0,0,0,0,0,36-45,4.16554972375988,1.159664471238077,235.0,5.493061443340549,1.0866268442059068,0,0,High
61.0,Female,Education,1.445357723648213,Twitter,62.0,6.419898207050239,6.873341151925841,5.957136871135499,6.0,6.975413397877197,0.0,4.0,1,1,3,17.0,14.088958681842806,5.44230501943273,0,0,0,0,0,0,0,56+,1.2256734489169412,4.513785572838078,372.0,8.317766166719343,0.9162042807903417,0,0,Medium
47.0,Other,Health,1.4376657344061785,Tiktok,63.0,7.61046105479489,7.832933411718364,6.969125318856361,7.0,5.399600829024012,1.0352279021586897,10.0,0,0,2,22.0,3.565712707364132,6.49048125007927,0,0,0,0,0,0,0,46-55,1.8298891962726687,3.511556971196506,441.0,7.690286020676768,0.8638080928620031,0,0,Medium
55.0,Female,Finance,0.0715034686384337,Tiktok,50.0,7.093237051352487,8.929055817094138,8.119665072027631,5.0,5.223283455334012,0.8803646735528823,2.0,0,0,1,21.0,4.72050127510353,8.548482374080775,0,0,0,0,0,0,0,46-55,0.0671610569288642,30.455847317851163,250.0,3.4657359027997265,0.8093907450665068,0,0,High
19.0,Male,Health,5.916044259617864,Twitter,65.0,6.592757485749668,3.873518582823957,2.974136908027594,5.0,5.546582305491265,0.8299391315458594,1.0,0,0,2,22.0,10.619488783288151,3.2074009749761734,0,0,0,0,0,0,0,18-25,5.238606239622638,0.9219650099189232,325.0,5.493061443340549,0.8993816747963628,0,0,Low
38.0,Male,It,4.030315420149807,Tiktok,57.0,6.299842055265692,6.851403385986502,6.073044145143145,7.0,5.006477533401897,1.2604472028596634,6.0,1,0,1,13.0,14.2517009923734,5.784979033352987,0,0,0,0,0,0,0,36-45,5.524788419514281,1.212129589178037,399.0,4.852030263919617,0.7783592408433568,0,0,Medium
50.0,Male,Finance,4.242185462336886,Instagram,58.0,5.068888914640172,2.4288108550508287,1.4545806914444617,8.0,7.707290757209074,0.3485404165570244,7.0,1,0,2,14.0,14.331846886253956,0.8420772931458893,0,0,0,1,0,0,0,46-55,4.3468963503579,1.7749796327357121,464.0,8.788898309344878,0.974230163606367,0,0,Low
29.0,Male,Student,1.5515560832371853,Telegram,52.0,7.96537369608841,8.564363324635403,7.209460411624187,3.0,6.71104690988033,0.7722656611569734,8.0,0,0,0,22.0,6.724089810475565,7.587603667975378,0,0,0,0,0,0,0,26-35,0.6833998225675615,4.063468978132506,156.0,0.0,1.354902913011216,0,0,High
39.0,Female,Education,4.593418669573279,Facebook,73.0,10.619574601181515,3.230612085152174,3.6600094885701457,2.0,6.773534022322253,1.961318193625136,5.0,1,0,0,15.0,16.921902058764786,4.416550049921425,0,0,0,0,0,0,0,36-45,1.3365522465316533,1.4431983377562385,146.0,0.0,-0.4293974034179717,0,0,Low
61.0,Female,Finance,1.9845964147418524,Telegram,56.0,5.983900411552443,5.981160383347692,5.672382929888017,3.0,8.072311225747404,0.6879902912755647,10.0,1,0,0,9.0,0.6902942512724941,5.181729535882295,0,0,0,0,1,0,0,56+,0.7285318779181773,3.8723616565113614,168.0,0.0,0.3087774534596752,0,0,Medium
42.0,Male,Health,2.0766932054808267,Telegram,57.0,8.254002161129605,5.140097801076967,4.767331765932079,3.0,3.107211184574535,1.5605763793713208,0.0,1,1,2,0.0,16.438963672765478,6.1764998244603415,0,0,0,0,0,0,0,36-45,1.9425224152393803,1.4274915623160402,171.0,3.295836866004329,0.37276603514488826,1,0,Medium
44.0,Male,Finance,5.144763132827894,Facebook,55.0,8.096871863884838,2.218581344303753,2.4169086798591684,6.0,5.009060289236839,1.7489731958619692,0.0,0,0,0,24.0,5.104789444342766,0.5215035911705611,0,0,0,1,0,0,0,36-45,6.0419288576409285,0.9550593920789769,330.0,0.0,-0.19832733555541537,0,0,Low
59.0,Male,Unemployed,3.750236530209918,Twitter,74.0,7.90339858771938,2.10592819381172,2.1234512855387324,8.0,7.432226649283075,1.3997726730344364,8.0,0,0,0,23.0,1.934814370241705,1.3438645440760617,1,0,0,0,0,0,0,56+,3.983137210101737,1.930329887779093,592.0,0.0,-0.017523091727012385,0,0,Low
45.0,Male,Student,1.0034541198062863,Telegram,56.0,7.503856646145865,4.350017990262584,3.618640575481865,8.0,5.513561040741418,0.8499443229119544,5.0,1,0,2,16.0,1.8598385334812324,5.572064561565512,0,0,0,0,0,0,0,36-45,1.4300428729977845,4.996638230603856,448.0,8.788898309344878,0.7313774147807193,0,0,Low
33.0,Male,Unemployed,0.7656521995984868,Twitter,62.0,2.285196584577387,2.9833576450909813,2.403117020263418,7.0,4.956083978457306,1.173385971859546,6.0,1,0,3,1.0,16.982557923028843,3.780552020537351,0,0,0,0,0,0,0,26-35,1.0600230178187626,5.725260076455733,434.0,9.704060527839234,0.5802406248275633,0,0,Low
32.0,Female,Finance,2.7074438852856457,Twitter,59.0,5.399454954894098,8.31399347133363,7.986016314057592,7.0,7.178262022908912,0.2388063182052465,0.0,0,0,2,21.0,23.091730529722195,8.510192630239214,0,0,0,0,0,0,0,26-35,2.603933073218063,2.5568674980581325,413.0,7.690286020676768,0.32797715727603816,0,0,High
64.0,Male,Student,7.124254014015077,Instagram,59.0,6.7375730297604655,8.544160503095993,6.964985503391575,5.0,6.492431415120487,1.5594197651471062,4.0,1,0,3,8.0,28.517951637529567,8.689123963695192,0,0,0,1,1,1,0,56+,5.4033584617010915,0.8986992155210972,295.0,6.931471805599453,1.579174999704418,0,0,Medium
61.0,Female,Student,2.480195084119649,Tiktok,61.0,7.669313202826174,5.289302949233505,4.515495403857237,10.0,7.379771913696311,1.0243571257175927,0.0,0,0,2,10.0,13.48241714507274,5.589337823488065,0,0,0,0,0,0,0,56+,3.3158699392666384,2.8601604425636893,610.0,10.986122886681098,0.7738075453762683,0,0,Medium
20.0,Male,Finance,0.3991835125885883,Facebook,55.0,6.433980729191387,6.789495043945466,5.850698850439095,9.0,4.734784813837022,1.337377970173824,5.0,0,0,2,23.0,1.0806283595103512,5.8892317069508255,0,0,1,0,0,0,0,18-25,0.7430840774992145,9.48505848938021,495.0,9.887510598012987,0.9387961935063718,0,0,Medium
54.0,Male,Education,1.749943183722754,Facebook,57.0,6.303235157019867,3.9382435746017466,3.876732391030856,4.0,8.038740530328006,0.9128377983005512,4.0,0,0,3,13.0,13.08443572683785,5.512511516311731,0,0,0,0,0,0,0,46-55,0.8600560134344167,4.345398605243193,228.0,5.545177444479562,0.06151118357089036,0,0,Low
24.0,Female,Education,2.069646260266324,Facebook,52.0,7.208452862199355,8.027077221246362,6.6246962545596855,5.4,8.757313556122348,1.0313971344580155,8.0,1,0,2,9.0,0.0,5.97114046598909,0,0,1,1,0,0,0,18-25,1.261792273088607,4.036286336855386,280.8,5.932506358807793,1.4023809666866764,0,0,Medium
38.0,Female,Health,3.0942538852519728,Tiktok,67.0,7.08645855199627,5.560696543715612,4.662193807152799,8.0,7.996752238585673,1.688305039922776,8.0,0,0,2,25.0,3.351965037610144,4.870622594022838,0,0,0,0,0,0,0,36-45,3.0572790611090475,2.5034804764602687,536.0,8.788898309344878,0.8985027365628131,0,0,Medium
26.0,Male,Unemployed,3.726209044280029,Facebook,60.0,6.87105824139164,5.940536693573037,5.093052146705154,1.0,6.017000351465942,2.2032768505246665,9.0,0,0,3,16.0,17.37128446898401,6.080559947190402,0,0,1,0,0,0,0,26-35,0.6091562579994034,1.5725749120950474,60.0,1.3862943611198906,0.8474845468678831,0,0,Medium
56.0,Female,Finance,2.841240443335877,Telegram,60.0,8.002335463858577,4.109737260383254,3.2399024844784083,6.0,5.757353461692434,0.9817071869743984,0.0,1,0,3,17.0,15.050121514785122,2.1072355105214875,1,0,0,0,0,0,0,56+,2.910434340612517,1.9574576008354476,360.0,8.317766166719343,0.8698347759048453,0,0,Low
35.0,Male,Unemployed,0.5529223328392248,Facebook,46.0,4.8688095738722925,3.0797644348332,2.973938095503063,5.0,5.432912863620792,0.8593124918568685,6.0,1,0,2,4.0,11.543032992268566,2.3419143997967864,0,0,0,0,0,0,0,26-35,0.499666582926617,8.320917497178932,230.0,5.493061443340549,0.10582633933013685,0,0,Low
21.0,Male,Unemployed,0.4011186864021567,Instagram,60.0,9.643722291251386,8.869538888938884,7.934279341892775,4.0,5.796652950377268,1.3129382769207243,7.0,0,1,1,5.0,19.5335072336862,8.959259063781898,0,0,0,0,0,0,0,18-25,0.2720992330922193,11.56742525806621,240.0,2.772588722239781,0.9352595470461091,1,0,High
42.0,Female,Finance,5.039176278466011,Twitter,58.0,6.291765531436794,7.546805467839596,6.834059711891591,3.0,7.405845811806444,2.6286370180845564,3.0,0,0,1,2.0,21.69603488271964,6.133766687240218,0,0,0,0,0,0,0,36-45,2.0141006376148396,1.4410569730480252,174.0,2.0794415416798357,0.7127457559480055,0,0,Medium
31.0,Female,It,3.5184283886977843,Twitter,59.0,5.538296145853846,2.9966257975802217,2.71189759793165,5.0,4.250314069574182,0.1570146204187358,9.0,0,1,2,4.0,8.983661147074923,3.70117864403941,1,0,0,0,0,0,0,26-35,4.04387859408295,1.174629870484684,295.0,5.493061443340549,0.28472819964857177,1,0,Low
26.0,Male,Education,3.5591772986372034,Instagram,51.0,9.284383376821632,8.480476499127825,7.054453195563564,6.0,5.232029660558982,0.8542013183127679,5.0,0,0,2,30.0,0.0,6.832963285171698,0,0,0,0,0,1,0,26-35,4.005053450806286,1.4298377021817337,306.0,6.591673732008658,1.4260233035642607,0,0,High
43.0,Male,Student,3.5345845395278834,Tiktok,67.0,9.931233633986894,2.0733123096733546,1.6426768813837649,7.0,5.983273320575883,2.094190742888648,1.0,0,1,1,27.0,28.517951637529567,0.5215035911705611,1,0,0,0,1,0,0,36-45,4.067233292478947,1.6462055719174669,469.0,4.852030263919617,0.4306354282895897,0,0,Low
19.0,Female,It,1.9904620993461355,Tiktok,60.0,8.317581438539188,8.537355805267719,7.597030634880036,8.0,6.102316704076012,1.2803398179019645,0.0,1,0,1,29.0,14.392439413545851,6.532444804285157,0,0,0,0,0,0,0,18-25,2.567378860918924,2.9191233392773412,480.0,5.545177444479562,0.9403251703876832,0,0,High
37.0,Male,Finance,0.0,Facebook,62.0,10.675150657587375,7.774363582904603,7.586339465237845,6.0,5.905620214088417,1.2926128714389145,3.0,0,0,0,19.0,14.298410760700325,7.220725067219375,0,0,0,0,1,0,0,36-45,0.0,59.05620214088417,372.0,0.0,0.18802411766675764,0,0,High
45.0,Male,It,3.114311782428878,Facebook,66.0,4.811772467602268,4.934563833591195,4.4190912819170896,6.0,6.678753055720051,2.029745239239692,0.0,0,0,0,31.0,4.903220221036546,3.711497849174352,1,1,0,0,0,0,0,36-45,2.7565350944309364,2.0778174327175214,396.0,0.0,0.5154725516741054,0,0,Medium
64.0,Female,Education,5.620133439104666,Telegram,63.0,8.803146978995777,2.5808800879275875,2.742944820142082,5.0,6.858637880592437,1.3441014634959907,10.0,1,0,5,19.0,0.0,3.205556307144075,0,0,0,0,0,0,0,56+,4.038242494827296,1.199034594840846,315.0,8.958797346140274,-0.16206473221449436,0,0,Low
24.0,Female,Finance,2.9586154159044,Twitter,59.0,11.018555618001391,7.73431475751068,6.893086987930092,3.0,6.9479550115930016,0.7121476395458355,0.0,1,0,0,2.0,11.020764020117657,7.540387811915198,0,0,0,0,0,0,0,18-25,1.259350582277206,2.2716013839021882,177.0,0.0,0.8412277695805885,0,0,Medium
61.0,Male,Unemployed,1.6329208515087443,Facebook,51.0,7.969799586017083,8.90094844417116,7.361611655183045,1.0,4.789860413706537,0.6933069800946909,9.0,0,0,4,11.0,21.94840463627612,8.878769766792416,0,0,0,0,0,0,0,56+,0.33394017688758176,2.764038766996374,51.0,1.6094379124341003,1.5393367889881153,0,0,High
25.0,Female,Unemployed,6.590503268918364,Instagram,48.0,2.285196584577387,6.692181573695605,5.420393108308598,1.0,3.926680903242668,0.8127989858649791,3.0,1,0,3,12.0,3.9881655960913625,5.123468907628342,0,0,0,0,0,0,0,18-25,1.6367086012728402,0.5869036670955075,48.0,1.3862943611198906,1.271788465387007,0,0,Medium
64.0,Female,Education,1.5698120616035278,Tiktok,66.0,9.957394423650204,3.324562415086406,3.406939530294707,1.0,6.349141883939098,1.1194522976394037,2.0,1,0,2,25.0,9.190318792472697,4.540201597601328,0,0,0,0,0,1,0,56+,0.24341409909324183,3.802309271764386,66.0,1.0986122886681098,-0.08237711520830127,0,0,Low
52.0,Male,It,4.589997969573998,Facebook,61.0,7.411127023202047,4.173630616116702,3.24404848837352,1.0,6.639677236752334,0.8514142011844235,2.0,1,1,3,26.0,5.216176793157294,2.0446908714228105,0,0,0,0,0,0,0,46-55,0.6810412143394856,1.415710045041966,61.0,1.3862943611198906,0.9295821277431817,1,0,Low
31.0,Female,Health,0.0098588016095639,Tiktok,55.0,8.793411270697742,4.942293492725969,4.276708433373928,7.0,9.832130947654106,0.6065444655412029,1.0,1,0,0,2.0,10.882241330786304,4.634608986349306,0,0,0,0,0,0,1,26-35,0.006948318707300906,89.49789005160744,385.0,0.0,0.6655850593520407,0,0,Medium
34.0,Other,Student,3.9174712851663367,Twitter,45.0,5.682420632439501,4.06635207528905,4.033273855552851,2.0,8.422770991647555,0.4978788261473605,10.0,0,0,4,26.0,11.930084440420432,2.5673832941805825,0,0,1,0,0,1,0,26-35,0.919295212555991,2.096535455709878,90.0,3.2188758248682006,0.03307821973619873,0,0,Medium
53.0,Male,Student,0.4021387378742891,Telegram,72.0,5.173965277035414,6.033503351131975,5.325118472728764,4.0,8.248283195955121,0.2729181532645971,1.0,0,0,1,22.0,11.132098612546136,4.06128390784453,0,0,0,0,0,0,0,46-55,0.1926809277716558,16.426303277999807,288.0,2.772588722239781,0.7083848784032103,0,0,Medium
57.0,Male,Health,3.757331202550075,Tiktok,62.0,6.681095323923789,7.827750822379186,6.972137571347723,3.0,5.378036150248327,0.9881247741058112,5.0,1,0,4,1.0,17.27280953380276,6.310735074444037,0,0,0,0,0,0,0,56+,2.0576705407720337,1.3942375875561104,186.0,4.828313737302301,0.8556132510314631,0,0,Medium
21.0,Female,Health,4.923499317705055,Tiktok,57.0,7.527907654686073,6.944950809459469,6.9195628101804205,6.0,5.298373754042569,0.9206923706816886,8.0,0,0,2,2.0,14.111141358060054,6.143465449959848,1,0,0,0,0,0,0,18-25,5.4722027877578086,1.0547177214434436,342.0,6.591673732008658,0.025387999279048223,0,0,Medium
19.0,Female,Health,2.267765112158636,Facebook,61.0,2.752014973684348,5.482103616256513,5.394193720837338,4.0,5.658384425723139,0.2513155025067106,10.0,1,0,2,9.0,6.292686882153475,7.734261535898735,0,0,0,0,1,0,0,18-25,1.5752787202107297,2.3897574960738073,244.0,4.394449154672439,0.08790989541917504,0,0,Medium
23.0,Male,Education,1.5399604321458835,Facebook,49.0,3.879482555667335,7.937436985239362,6.812805739051938,10.0,5.939011260795588,0.6281087900262701,5.0,0,0,2,7.0,3.792237988175948,5.802003767362106,1,0,0,0,0,1,0,18-25,2.5500207991713646,3.621435703192185,490.0,10.986122886681098,1.1246312461874242,0,0,Medium
59.0,Female,Finance,5.167122019412776,Twitter,69.0,7.068988940311604,8.561590224384076,7.782286965893771,6.0,9.669677480575151,0.5612345773565316,6.0,0,0,1,13.0,28.517951637529567,7.378026394825915,0,0,0,0,0,0,0,56+,3.1733629055942485,1.835855984527431,414.0,4.1588830833596715,0.7793032584903052,0,0,High
21.0,Female,Health,2.8295694913053144,Telegram,51.0,6.001544284486164,2.495492124716104,2.103487892293927,2.0,8.87062170783777,0.0231452931394642,2.0,0,0,2,13.0,12.542040590202692,0.5215035911705611,0,0,0,0,0,0,0,18-25,0.6308524834645688,3.027960843449844,102.0,2.1972245773362196,0.3920042324221771,0,0,Low
46.0,Female,Education,3.790185230822821,Facebook,50.0,7.1447701364488,3.103956906659862,2.1834922893696644,4.0,6.690619890939986,0.2787121009139295,2.0,0,0,2,26.0,7.000101380606305,1.9296418405776603,0,0,0,0,0,0,0,46-55,2.232600435126501,1.7198718040284264,200.0,4.394449154672439,0.9204646172901976,0,0,Low
35.0,Female,Unemployed,7.993123586677781,Telegram,67.0,9.50956918619718,6.639874472184763,5.537632261717748,3.0,6.238619328017618,0.5001262785052294,8.0,0,0,1,13.0,0.0,5.742395546497269,0,0,0,0,0,0,0,26-35,3.783058978481487,0.7708543260462634,201.0,2.0794415416798357,1.1022422104670149,0,0,Medium
43.0,Male,It,0.498335829608556,Telegram,58.0,8.668567292486038,7.817793613254247,6.775056842279851,5.6,6.939733815712428,0.1960810237510696,8.0,0,1,3,22.0,14.368152712204653,8.104706830007714,0,0,0,1,0,0,0,36-45,0.3964184895143644,11.598392528578055,324.79999999999995,7.763248422271387,1.042736770974396,0,0,Medium
61.0,Male,It,1.4590023453524306,Facebook,56.0,9.146950510627311,6.368552307485003,5.894081942530983,9.0,5.097309469959344,2.6286370180845564,6.0,1,0,1,14.0,12.6942253947677,6.198401270641121,0,0,0,0,0,0,0,56+,2.526503604234018,3.269597050418188,504.0,6.238324625039508,0.47447036495402006,0,0,Medium
51.0,Female,Health,0.0,Tiktok,53.0,5.818752307861592,3.542764420642941,2.7804952114540087,7.0,7.997244748104803,0.7790347836302871,8.0,0,0,2,11.0,3.3876198853903308,2.748254929412934,0,0,0,0,0,0,1,46-55,0.0,79.97244748104802,371.0,7.690286020676768,0.7622692091889323,0,0,Low
27.0,Male,It,0.0,Instagram,64.0,8.3638185636748,5.711110922358062,4.404630626520092,4.0,5.715426537484546,1.6843896888110723,4.0,1,1,2,6.0,0.4767811854238424,4.572272375363184,0,0,0,0,0,0,0,26-35,0.0,57.15426537484545,256.0,4.394449154672439,1.3064802958379698,1,0,Medium
53.0,Female,Health,6.811090571420031,Twitter,52.0,3.757508589617857,2.8293700952328096,2.147642971250322,10.0,7.213723295925195,0.722990857973577,5.0,1,1,2,10.0,8.122276082606481,2.5496356895513594,0,0,0,0,0,0,0,46-55,9.31275397746425,1.0437894311147744,520.0,10.986122886681098,0.6817271239824874,0,0,Low
31.0,Male,It,2.161792799668915,Telegram,56.0,6.126468692882968,5.617262231869693,5.265213585518072,5.4,7.41475940536592,1.1826274584037546,10.0,1,1,0,1.0,1.943422477451163,4.605971655148963,0,0,0,1,0,0,0,26-35,1.553433781243421,3.278266429379077,302.40000000000003,0.0,0.35204864635162103,1,0,Medium
48.0,Male,It,1.865039637688904,Tiktok,69.0,6.73444699403642,3.31279819133853,2.4559526750213063,10.0,3.107211184574535,1.6683951260267076,10.0,0,1,1,18.0,10.643184708935191,2.317097828687647,1,0,0,0,0,0,0,46-55,5.815144467751406,1.5812460598652078,690.0,6.931471805599453,0.8568455163172235,0,0,Low
65.0,Male,Finance,2.43469421925359,Telegram,76.0,5.671857351546034,3.551649351871127,4.266142698063823,9.0,7.92726395909349,2.594968922427629,0.0,1,0,3,29.0,21.73168859486833,4.131089975389679,0,0,0,0,0,0,0,56+,2.729728097262773,3.1275030727090583,684.0,12.476649250079015,-0.7144933461926959,0,0,Medium
32.0,Female,Finance,2.012029994948931,Facebook,61.0,2.3051496832490024,5.882354673418407,4.349644802623489,2.0,5.602479944404472,0.5452113705458965,10.0,0,0,3,23.0,0.0,5.21935996976756,0,0,0,0,0,0,0,26-35,0.7056684160452769,2.6526516942482816,122.0,2.772588722239781,1.5327098707949176,0,0,Medium
25.0,Female,It,0.9012221072792256,Twitter,66.0,4.814427008877596,6.2500693302656,4.500942214332079,8.0,6.074014817105068,0.628350080931324,1.0,0,0,0,3.0,15.079578239219416,5.444899045392789,0,0,0,0,0,0,0,18-25,1.1677615088093352,6.066600780131514,528.0,0.0,1.7491271159335202,0,0,Medium
31.0,Female,Finance,2.6194398401228813,Twitter,55.0,6.892571890910141,3.172726637529225,4.299132476799126,7.0,7.874516098954118,1.9189271480876189,8.0,0,1,1,24.0,27.515662831408843,2.2125272602748067,1,0,1,0,0,0,0,26-35,2.2993343612742856,2.895639014613501,385.0,4.852030263919617,-1.1264058392699008,0,0,Medium
40.0,Male,Health,3.315270836806156,Tiktok,70.0,10.451281139467332,5.677850939204358,5.16836270178341,1.0,5.458264294627229,1.0007914273206964,8.0,0,0,3,21.0,2.6644466032009,5.819830868353095,0,0,0,0,1,0,0,36-45,0.5964579338213168,1.5981936881268282,70.0,1.3862943611198906,0.509488237420948,0,0,Medium
